Household_ID,Total_HH_Income,HH_Weight,Survey_Year
1,44220,,2022
5,82752,,2022
5,82752,,2022
6,60001,,2022
6,60001,,2022
9,123814,,2022
9,123814,,2022
9,123814,,2022
9,123814,,2022
9,123814,,2022
10,31184,,2022
10,31184,,2022
12,19783,,2022
13,72370,,2022
13,72370,,2022
13,72370,,2022
13,72370,,2022
15,44000,,2022
15,44000,,2022
17,400,,2022
19,29110,,2022
23,273821,,2022
23,273821,,2022
29,113003,,2022
29,113003,,2022
29,113003,,2022
29,113003,,2022
29,113003,,2022
34,31182,,2022
52,78152,,2022
52,78152,,2022
52,78152,,2022
52,78152,,2022
53,142458,,2022
53,142458,,2022
53,142458,,2022
53,142458,,2022
54,87630,,2022
54,87630,,2022
54,87630,,2022
55,90950,,2022
56,40720,,2022
63,14544,,2022
67,63827,,2022
73,114809,,2022
73,114809,,2022
74,14287,,2022
76,32289,,2022
77,73513,,2022
77,73513,,2022
79,49451,,2022
80,383749,,2022
80,383749,,2022
81,18354,,2022
83,102979,,2022
83,102979,,2022
84,125825,,2022
84,125825,,2022
85,22056,,2022
86,95664,,2022
86,95664,,2022
88,82382,,2022
88,82382,,2022
89,46901,,2022
89,46901,,2022
89,46901,,2022
90,18666,,2022
92,116746,,2022
92,116746,,2022
94,60625,,2022
94,60625,,2022
95,129294,,2022
95,129294,,2022
95,129294,,2022
95,129294,,2022
97,18002,,2022
101,177017,,2022
102,37201,,2022
102,37201,,2022
102,37201,,2022
117,108317,,2022
117,108317,,2022
117,108317,,2022
118,1552,,2022
118,1552,,2022
118,1552,,2022
118,1552,,2022
118,1552,,2022
119,27906,,2022
119,27906,,2022
130,36484,,2022
130,36484,,2022
132,18683,,2022
134,137744,,2022
134,137744,,2022
135,30000,,2022
137,33192,,2022
137,33192,,2022
138,82791,,2022
138,82791,,2022
139,66042,,2022
139,66042,,2022
140,33298,,2022
141,106560,,2022
141,106560,,2022
142,19228,,2022
144,128841,,2022
144,128841,,2022
145,73142,,2022
147,87406,,2022
149,106735,,2022
149,106735,,2022
149,106735,,2022
149,106735,,2022
152,67497,,2022
152,67497,,2022
155,20184,,2022
159,8865,,2022
159,8865,,2022
159,8865,,2022
159,8865,,2022
159,8865,,2022
160,11382,,2022
171,162204,,2022
171,162204,,2022
172,30604,,2022
172,30604,,2022
179,115555,,2022
179,115555,,2022
179,115555,,2022
179,115555,,2022
180,34023,,2022
182,149802,,2022
182,149802,,2022
182,149802,,2022
182,149802,,2022
182,149802,,2022
183,312366,,2022
183,312366,,2022
184,90291,,2022
184,90291,,2022
186,25338,,2022
186,25338,,2022
187,23898,,2022
188,186917,,2022
188,186917,,2022
188,186917,,2022
188,186917,,2022
189,113800,,2022
189,113800,,2022
193,75152,,2022
193,75152,,2022
193,75152,,2022
193,75152,,2022
201,105823,,2022
201,105823,,2022
202,160222,,2022
202,160222,,2022
202,160222,,2022
202,160222,,2022
206,324808,,2022
206,324808,,2022
220,44005,,2022
220,44005,,2022
220,44005,,2022
221,28476,,2022
221,28476,,2022
222,109801,,2022
222,109801,,2022
222,109801,,2022
223,160407,,2022
223,160407,,2022
223,160407,,2022
224,40070,,2022
224,40070,,2022
225,52560,,2022
225,52560,,2022
226,56018,,2022
226,56018,,2022
226,56018,,2022
234,98063,,2022
234,98063,,2022
235,47382,,2022
235,47382,,2022
235,47382,,2022
236,11263,,2022
237,19922,,2022
238,27169,,2022
252,40010,,2022
258,40548,,2022
258,40548,,2022
264,27084,,2022
265,248385,,2022
265,248385,,2022
266,24034,,2022
266,24034,,2022
266,24034,,2022
268,22898,,2022
268,22898,,2022
269,31608,,2022
269,31608,,2022
269,31608,,2022
270,14400,,2022
271,29000,,2022
271,29000,,2022
272,40000,,2022
272,40000,,2022
272,40000,,2022
272,40000,,2022
279,32299,,2022
279,32299,,2022
281,12000,,2022
284,183580,,2022
284,183580,,2022
285,69601,,2022
285,69601,,2022
285,69601,,2022
285,69601,,2022
286,139384,,2022
286,139384,,2022
286,139384,,2022
286,139384,,2022
287,16560,,2022
288,37501,,2022
288,37501,,2022
289,146026,,2022
289,146026,,2022
293,242032,,2022
293,242032,,2022
298,47500,,2022
298,47500,,2022
306,65028,,2022
306,65028,,2022
306,65028,,2022
311,40000,,2022
311,40000,,2022
311,40000,,2022
313,133143,,2022
313,133143,,2022
314,28363,,2022
314,28363,,2022
314,28363,,2022
314,28363,,2022
315,27602,,2022
315,27602,,2022
316,40765,,2022
316,40765,,2022
317,57409,,2022
318,25000,,2022
318,25000,,2022
320,264146,,2022
320,264146,,2022
320,264146,,2022
320,264146,,2022
321,58061,,2022
321,58061,,2022
322,111800,,2022
322,111800,,2022
322,111800,,2022
322,111800,,2022
323,26982,,2022
326,38017,,2022
327,152043,,2022
327,152043,,2022
328,111315,,2022
328,111315,,2022
331,90940,,2022
331,90940,,2022
332,9540,,2022
333,29673,,2022
334,159008,,2022
334,159008,,2022
336,104412,,2022
336,104412,,2022
339,58058,,2022
339,58058,,2022
340,36001,,2022
342,17622,,2022
343,26983,,2022
346,47598,,2022
346,47598,,2022
346,47598,,2022
349,68002,,2022
353,153097,,2022
353,153097,,2022
356,250324,,2022
356,250324,,2022
356,250324,,2022
356,250324,,2022
359,196105,,2022
359,196105,,2022
360,186254,,2022
360,186254,,2022
360,186254,,2022
360,186254,,2022
362,94273,,2022
362,94273,,2022
362,94273,,2022
363,144391,,2022
363,144391,,2022
363,144391,,2022
364,75200,,2022
364,75200,,2022
364,75200,,2022
364,75200,,2022
365,80508,,2022
365,80508,,2022
365,80508,,2022
366,139661,,2022
366,139661,,2022
366,139661,,2022
366,139661,,2022
366,139661,,2022
367,35383,,2022
368,57942,,2022
368,57942,,2022
369,54896,,2022
369,54896,,2022
370,156409,,2022
370,156409,,2022
375,25361,,2022
376,256645,,2022
376,256645,,2022
376,256645,,2022
377,16300,,2022
378,36123,,2022
385,71666,,2022
385,71666,,2022
387,49521,,2022
387,49521,,2022
389,70001,,2022
390,440820,,2022
390,440820,,2022
391,32000,,2022
393,126906,,2022
393,126906,,2022
394,97036,,2022
394,97036,,2022
395,40010,,2022
395,40010,,2022
396,127648,,2022
396,127648,,2022
398,43146,,2022
398,43146,,2022
400,59058,,2022
400,59058,,2022
400,59058,,2022
405,6479,,2022
405,6479,,2022
405,6479,,2022
405,6479,,2022
405,6479,,2022
406,18302,,2022
407,43100,,2022
407,43100,,2022
408,230491,,2022
408,230491,,2022
408,230491,,2022
408,230491,,2022
410,44160,,2022
410,44160,,2022
411,16700,,2022
412,68586,,2022
412,68586,,2022
412,68586,,2022
413,110212,,2022
413,110212,,2022
413,110212,,2022
413,110212,,2022
414,63067,,2022
414,63067,,2022
415,19500,,2022
415,19500,,2022
415,19500,,2022
415,19500,,2022
416,579998,,2022
416,579998,,2022
416,579998,,2022
416,579998,,2022
416,579998,,2022
416,579998,,2022
417,11182,,2022
417,11182,,2022
417,11182,,2022
418,147854,,2022
418,147854,,2022
419,104085,,2022
419,104085,,2022
419,104085,,2022
420,68073,,2022
420,68073,,2022
422,75414,,2022
422,75414,,2022
423,148900,,2022
423,148900,,2022
425,100214,,2022
425,100214,,2022
425,100214,,2022
440,133560,,2022
440,133560,,2022
440,133560,,2022
440,133560,,2022
446,27534,,2022
446,27534,,2022
447,89739,,2022
447,89739,,2022
447,89739,,2022
448,158054,,2022
448,158054,,2022
449,41183,,2022
449,41183,,2022
450,60600,,2022
450,60600,,2022
451,21730,,2022
452,150985,,2022
452,150985,,2022
453,92370,,2022
453,92370,,2022
454,93319,,2022
454,93319,,2022
456,90031,,2022
458,56008,,2022
458,56008,,2022
460,102492,,2022
460,102492,,2022
460,102492,,2022
461,28800,,2022
464,72005,,2022
464,72005,,2022
464,72005,,2022
464,72005,,2022
465,79149,,2022
465,79149,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
466,68636,,2022
467,47906,,2022
467,47906,,2022
467,47906,,2022
